percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
10,0,10.0,Dataloader,95.55216360092165,463.50830078125,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_10.csv,10
10,1,10.0,Train,47.81982851028442,421.48291015625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_10.csv,10
10,2,10.0,Test,1.0748286247253418,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_10.csv,10
10,3,,Total,144.4468207359314,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_10.csv,10
100,0,100.0,Dataloader,973.3655517101288,465.40673828125,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_100.csv,100
100,1,100.0,Train,2789.424917459488,421.48291015625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_100.csv,100
100,2,100.0,Test,54.939666986465454,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_100.csv,100
100,3,,Total,3817.730136156082,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_100.csv,100
20,0,20.0,Dataloader,195.7742886543274,463.82470703125,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_20.csv,20
20,1,20.0,Train,143.17284107208252,421.48291015625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_20.csv,20
20,2,20.0,Test,3.0148813724517822,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_20.csv,20
20,3,,Total,341.9620110988617,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_20.csv,20
30,0,30.0,Dataloader,292.3160603046417,463.82470703125,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_30.csv,30
