percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
10,3,,Total,203.1915986537933,445.00927734375,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_10.csv,10
100,3,,Total,5575.258394241333,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_100.csv,100
20,3,,Total,464.202944278717,463.80810546875,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_20.csv,20
30,3,,Total,807.8104367256165,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_30.csv,30
40,3,,Total,1263.6976642608645,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_40.csv,40
50,3,,Total,1809.5932321548464,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_50.csv,50
60,3,,Total,2407.4551408290863,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_60.csv,60
70,3,,Total,3075.697852373123,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_70.csv,70
80,3,,Total,3920.889913082123,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_80.csv,80
90,3,,Total,4664.708360910416,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_90.csv,90
10,3,,Total,200.23879075050357,445.00927734375,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_10.csv,10
100,3,,Total,5535.765097618103,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_100.csv,100
20,3,,Total,472.1185956001282,463.80810546875,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_20.csv,20
30,3,,Total,804.7200846672058,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_30.csv,30
40,3,,Total,1251.176082611084,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_40.csv,40
50,3,,Total,1794.341483592987,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_50.csv,50
60,3,,Total,2378.520483493805,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_60.csv,60
70,3,,Total,3090.7008261680603,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_70.csv,70
80,3,,Total,3874.138732910156,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_80.csv,80
90,3,,Total,4683.687504529953,467.765625,ag-news-normal,distilbert_benchmark,save\ag-news-normal\distilbert_benchmark\summary_efficiency_90.csv,90
10,3,,Total,180.1913468837738,501.26171875,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_10.csv,10
100,3,,Total,5414.66675901413,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_100.csv,100
20,3,,Total,425.9518039226532,516.3076171875,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_20.csv,20
30,3,,Total,742.3987064361572,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_30.csv,30
40,3,,Total,1195.489654302597,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_40.csv,40
50,3,,Total,1697.3091366291046,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_50.csv,50
60,3,,Total,2305.145186662674,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_60.csv,60
70,3,,Total,2945.098880529404,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_70.csv,70
80,3,,Total,3741.559916257858,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_80.csv,80
90,3,,Total,4546.783948898315,521.48583984375,ag-news-normal,roberta_benchmark,save\ag-news-normal\roberta_benchmark\summary_efficiency_90.csv,90
