,,,elapsed_time,elapsed_time,elapsed_time,elapsed_time,elapsed_time,gpu_used,gpu_used
,,,mean,std,min,max,count,mean,max
dataset,experiment,ket,,,,,,,
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,Dataloader,538.16,295.68,95.55,973.37,10,464.55,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,Test,22.07,18.56,1.07,54.94,10,420.68,420.68
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,Total,1653.24,1244.5,144.45,3817.73,10,420.68,420.68
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,Train,1093.01,936.17,47.82,2789.42,10,421.48,421.48
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,Dataloader,535.83,294.1,99.94,963.87,10,464.55,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,Test,21.58,18.32,1.01,54.28,10,418.76,418.76
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,Total,1600.82,1210.95,139.83,3685.81,10,418.76,418.76
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,Train,1043.41,904.41,38.88,2667.66,10,418.82,418.82
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,Dataloader,535.16,291.71,102.44,970.2,10,464.55,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,Test,21.95,18.47,1.01,54.72,10,420.68,420.68
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,Total,1640.65,1229.06,150.25,3757.77,10,420.68,420.68
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,Train,1083.54,923.76,46.81,2732.84,10,421.48,421.48
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,Dataloader,539.96,293.63,99.77,985.7,10,464.55,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,Test,21.55,18.2,0.98,53.94,10,418.76,418.76
