dataset,experiment,percentage,elapsed_time,gpu_used
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,10,288.89,463.51
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,20,683.92,463.82
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,30,1175.63,463.82
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,40,1764.83,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,50,2511.5,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,60,3284.06,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,70,4186.27,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,80,5219.78,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,90,6314.46,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,100,7635.46,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,10,279.65,463.51
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,20,657.36,463.82
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,30,1105.01,463.82
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,40,1702.22,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,50,2383.57,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,60,3195.41,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,70,4078.56,464.54
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,80,5075.38,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,90,6167.54,465.41
ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,100,7371.62,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,10,300.5,463.51
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,20,701.38,463.82
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,30,1180.84,463.82
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,40,1764.23,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,50,2436.69,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,60,3256.56,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,70,4194.8,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,80,5163.35,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,90,6299.11,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-bilstm,100,7515.53,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,10,279.98,463.51
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,20,677.36,463.82
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,30,1141.48,463.82
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,40,1731.34,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,50,2375.34,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,60,3161.24,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,70,4155.04,464.54
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,80,5055.9,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,90,6161.98,465.41
ag-news-bert-whitening-svd,ag-news-bert-whitening-svd-mlp,100,7404.17,465.41
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,10,292.34,463.51
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,20,682.03,463.82
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,30,1194.07,463.82
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,40,1768.11,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,50,2479.28,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,60,3274.49,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,70,4162.77,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,80,5145.89,465.41
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,90,6312.13,465.41
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-bilstm,100,7539.25,465.41
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,10,279.38,463.51
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,20,673.32,463.82
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,30,1127.97,463.82
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,40,1715.5,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,50,2406.63,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,60,3188.64,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,70,4209.62,464.54
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,80,5052.7,465.41
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,90,6196.82,465.41
ag-news-bert-whitening-zca,ag-news-bert-whitening-zca-mlp,100,7395.5,465.41
ag-news-normal,bert_benchmark,10,403.29,1139.83
ag-news-normal,bert_benchmark,20,936.76,1139.83
ag-news-normal,bert_benchmark,30,1613.51,1139.83
ag-news-normal,bert_benchmark,40,2478.29,1200.81
ag-news-normal,bert_benchmark,50,3555.49,1200.81
ag-news-normal,bert_benchmark,60,4807.94,1200.81
ag-news-normal,bert_benchmark,70,6108.08,1200.81
ag-news-normal,bert_benchmark,80,7660.17,1200.81
ag-news-normal,bert_benchmark,90,9278.6,1200.81
ag-news-normal,bert_benchmark,100,11098.71,1200.81
ag-news-normal,distilbert_benchmark,10,396.3,1139.83
ag-news-normal,distilbert_benchmark,20,925.61,1139.83
ag-news-normal,distilbert_benchmark,30,1581.35,1139.83
ag-news-normal,distilbert_benchmark,40,2446.43,1200.81
ag-news-normal,distilbert_benchmark,50,3516.09,1200.81
ag-news-normal,distilbert_benchmark,60,4729.6,1200.81
ag-news-normal,distilbert_benchmark,70,6069.09,1200.81
ag-news-normal,distilbert_benchmark,80,7687.4,1200.81
ag-news-normal,distilbert_benchmark,90,9226.18,1200.81
ag-news-normal,distilbert_benchmark,100,10892.56,1200.81
ag-news-normal,roberta_benchmark,10,358.32,1113.73
ag-news-normal,roberta_benchmark,20,839.38,1113.73
ag-news-normal,roberta_benchmark,30,1485.4,1113.73
ag-news-normal,roberta_benchmark,40,2317.58,1167.73
ag-news-normal,roberta_benchmark,50,3325.32,1167.73
ag-news-normal,roberta_benchmark,60,4498.29,1167.73
ag-news-normal,roberta_benchmark,70,5846.18,1167.73
ag-news-normal,roberta_benchmark,80,7285.24,1167.73
ag-news-normal,roberta_benchmark,90,8875.93,1167.73
ag-news-normal,roberta_benchmark,100,10541.12,1167.73
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,10,296.54,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,20,667.27,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,30,1157.56,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,40,1759.97,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,50,2420.18,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,60,3232.83,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,70,4129.24,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,80,5163.15,522.34
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,90,6299.29,522.34
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,100,7504.1,522.34
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,10,279.52,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,20,627.17,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,30,1113.45,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,40,1672.19,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,50,2328.3,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,60,3120.82,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,70,3997.2,503.58
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,80,5042.47,522.34
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,90,6083.19,522.34
ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,100,7275.95,522.34
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,10,291.2,503.58
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,20,643.0,503.58
