percentage,ket,elapsed_time,gpu_used,model
10,Total,358.9977946281433,796.896484375,A01
20,Total,817.6330499649048,796.896484375,A01
30,Total,1359.5888800621033,796.896484375,A01
40,Total,2128.9667677879333,796.896484375,A01
50,Total,2663.5668363571167,796.896484375,A01
60,Total,3484.7677330970764,796.896484375,A01
70,Total,4348.312174081802,796.896484375,A01
80,Total,5155.442229270935,796.896484375,A01
90,Total,6133.626985788345,796.896484375,A01
100,Total,7182.968909263611,796.896484375,A01
10,Total,322.56097626686096,894.9384765625,A02
20,Total,734.5886306762695,894.9384765625,A02
30,Total,1254.309143781662,894.9384765625,A02
40,Total,1819.6327607631683,894.9384765625,A02
50,Total,2527.011676311493,894.9384765625,A02
60,Total,3340.636317491532,894.9384765625,A02
70,Total,4268.283130168915,894.9384765625,A02
80,Total,5255.245663642883,894.9384765625,A02
90,Total,6291.020142793655,894.9384765625,A02
100,Total,7535.970230102539,894.9384765625,A02
10,Total,242.1258978843689,429.51416015625,B01
20,Total,539.7541737556458,431.4228515625,B01
30,Total,922.9207284450532,431.4228515625,B01
40,Total,1355.282957315445,431.4228515625,B01
50,Total,1876.358639717102,431.4228515625,B01
60,Total,2482.278141975403,431.4228515625,B01
70,Total,3153.8566296100616,431.4228515625,B01
80,Total,3896.3867893218994,432.6533203125,B01
90,Total,4709.211138725281,432.6533203125,B01
100,Total,5714.097805500031,432.6533203125,B01
10,Total,245.1422610282898,489.2802734375,B04
20,Total,560.7866384983063,490.1708984375,B04
30,Total,934.2180428504944,490.1708984375,B04
40,Total,1383.6046814918518,490.1708984375,B04
50,Total,1917.466407775879,490.1708984375,B04
60,Total,2522.648181915283,490.1708984375,B04
70,Total,3199.6893570423126,490.1708984375,B04
80,Total,3918.188017129898,491.953125,B04
90,Total,4662.297853946686,491.953125,B04
100,Total,5687.952828884125,491.953125,B04
10,Total,235.73471570014956,429.51416015625,B03
20,Total,543.8677110671997,431.4228515625,B03
30,Total,915.496320962906,431.4228515625,B03
40,Total,1360.0751631259918,431.4228515625,B03
50,Total,1879.6787650585172,431.4228515625,B03
60,Total,2480.311379671097,431.4228515625,B03
70,Total,3130.809116601944,431.4228515625,B03
80,Total,3904.587287187576,432.6533203125,B03
90,Total,4715.188086509705,432.6533203125,B03
100,Total,5560.940188407898,432.6533203125,B03
10,Total,240.3180272579193,489.9541015625,B06
20,Total,544.7291896343231,490.244140625,B06
30,Total,918.601239681244,490.244140625,B06
40,Total,1368.982712507248,490.244140625,B06
50,Total,1893.4532644748688,490.244140625,B06
60,Total,2484.5065574646,490.244140625,B06
70,Total,3168.4025230407715,490.244140625,B06
80,Total,3899.401563644409,491.6865234375,B06
90,Total,4724.180916786194,491.6865234375,B06
100,Total,5593.669529914856,491.6865234375,B06
10,Total,243.1258978843689,429.51416015625,B02
20,Total,540.7541737556458,431.4228515625,B02
30,Total,923.9207284450532,431.4228515625,B02
40,Total,1357.282957315445,431.4228515625,B02
50,Total,1878.358639717102,431.4228515625,B02
